query,answer,temperature,top_k,embedding_model,llm_model,context_count,metrics/Accuracy@K,metrics/Recall@K,metrics/MRR,timing/retrieval_ms,timing/generation_ms,timing/total_ms
What is the campus location?,Warsaw.,0.2,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.35714285714285715,1.0,15.618085861206055,302.06918716430664,317.6872730255127
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.2,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.22727272727272727,1.0,24.619340896606445,328.69625091552734,353.3155918121338
What is the acceptance rate?,Approximately 71%,0.5,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.3333333333333333,1.0,45.60232162475586,279.0181636810303,324.62048530578613
How can I apply for admission?,Information not available in knowledge base.,0.5,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.1111111111111111,1.0,5.059242248535156,335.4628086090088,340.52205085754395
What are the tuition fees?,Information not available in knowledge base.,0.5,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.037037037037037035,1.0,36.956787109375,326.9662857055664,363.9230728149414
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.5,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.08333333333333333,1.0,9.072303771972656,298.8300323486328,307.90233612060547
What is the campus location?,Information not available in knowledge base.,0.5,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.07142857142857142,1.0,41.64576530456543,308.5594177246094,350.2051830291748
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT obligatory Sources: https://www.sjo.pw.edu.pl/studies-in-english/other/faq/",0.5,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.045454545454545456,1.0,34.84487533569336,380.145788192749,414.9906635284424
What is the acceptance rate?,Approximately 71%,0.5,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.6666666666666666,1.0,39.93391990661621,279.98828887939453,319.92220878601074
How can I apply for admission?,"Check ISO for policies. 
Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc",0.5,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.3333333333333333,0.1111111111111111,1.0,38.338661193847656,327.6369571685791,365.97561836242676
What are the tuition fees?,Information not available in knowledge base.,0.5,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.07407407407407407,1.0,32.70244598388672,340.2693271636963,372.971773147583
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.5,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.25,1.0,13.33165168762207,438.57502937316895,451.906681060791
What is the campus location?,Information not available in knowledge base.,0.5,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.21428571428571427,1.0,15.624523162841797,350.5129814147949,366.1375045776367
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.5,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.13636363636363635,1.0,36.89908981323242,333.65321159362793,370.55230140686035
What is the acceptance rate?,Approximately 71%,0.5,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.4,0.6666666666666666,1.0,50.37093162536621,2516.515016555786,2566.8859481811523
How can I apply for admission?,"Check ISO for policies. 
Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc",0.5,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.4,0.2222222222222222,1.0,15.579938888549805,2664.271354675293,2679.851293563843
What are the tuition fees?,Information not available in knowledge base.,0.5,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.8,0.14814814814814814,1.0,15.137672424316406,2475.3811359405518,2490.518808364868
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.5,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.4166666666666667,1.0,4.070758819580078,2473.0048179626465,2477.0755767822266
What is the campus location?,Information not available in knowledge base.,0.5,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.35714285714285715,1.0,7.010459899902344,2527.4202823638916,2534.430742263794
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.5,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.22727272727272727,1.0,15.622377395629883,2489.54701423645,2505.16939163208
What is the acceptance rate?,Approximately 71%.,0.8,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.3333333333333333,1.0,13.696670532226562,2595.0117111206055,2608.708381652832
How can I apply for admission?,"Contact the ISO (International Student Office) to discuss your application. 

Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc",0.8,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.1111111111111111,1.0,18.289566040039062,2579.3848037719727,2597.6743698120117
What are the tuition fees?,Information not available in knowledge base.,0.8,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.037037037037037035,1.0,15.614986419677734,2477.7262210845947,2493.3412075042725
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.8,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.08333333333333333,1.0,9.978055953979492,2482.5069904327393,2492.4850463867188
What is the campus location?,Information not available in knowledge base.,0.8,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.07142857142857142,1.0,15.331506729125977,2429.0173053741455,2444.3488121032715
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT obligatory 

Sources: https://www.sjo.pw.edu.pl/studies-in-english/other/faq/",0.8,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.045454545454545456,1.0,21.941184997558594,2805.9327602386475,2827.873945236206
What is the acceptance rate?,Approximately 71%.,0.8,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.6666666666666666,1.0,12.965679168701172,2711.6172313690186,2724.5829105377197
How can I apply for admission?,"According to the context, for any specific information about applying for admission, it is recommended to contact ISO to discuss further. 

However, since the question is not specifically asking about deferring admission, applying to multiple programs, or not meeting requirements, and does not state any of those specific exceptions, then: 

For general information about applying for admission, I would recommend checking the source website for the most up-to-date information: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc",0.8,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.3333333333333333,0.1111111111111111,1.0,13.122320175170898,2690.159797668457,2703.282117843628
What are the tuition fees?,Information not available in knowledge base.,0.8,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.07407407407407407,1.0,13.868570327758789,2477.4272441864014,2491.29581451416
Do you offer scholarships?,"Yes, Rector's Scholarship and others. Sources: https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships",0.8,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.25,1.0,13.962507247924805,2617.222547531128,2631.1850547790527
What is the campus location?,Information not available in knowledge base.,0.8,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.21428571428571427,1.0,15.557527542114258,2396.0368633270264,2411.5943908691406
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT obligatory.",0.8,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.13636363636363635,1.0,10.972261428833008,2504.6944618225098,2515.666723251343
What is the acceptance rate?,Approximately 71%.,0.8,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.4,0.6666666666666666,1.0,15.953540802001953,2434.7922801971436,2450.7458209991455
How can I apply for admission?,Contact ISO to discuss Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc,0.8,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.4,0.2222222222222222,1.0,12.96091079711914,2493.2703971862793,2506.2313079833984
What are the tuition fees?,Information not available in knowledge base.,0.8,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.8,0.14814814814814814,1.0,29.492616653442383,2498.7964630126953,2528.2890796661377
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.8,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.4166666666666667,1.0,10.920524597167969,2462.185859680176,2473.1063842773438
What is the campus location?,Main campus is located at Pl. Politechniki 1.,0.8,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.35714285714285715,1.0,10.967254638671875,2497.7283477783203,2508.695602416992
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT obligatory.",0.8,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.22727272727272727,1.0,26.711702346801758,2510.300874710083,2537.0125770568848
What is the acceptance rate?,Approximately 71%,0.2,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.3333333333333333,1.0,15.622615814208984,461.4107608795166,477.0333766937256
How can I apply for admission?,Information not available in knowledge base.,0.2,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.1111111111111111,1.0,15.664100646972656,232.18536376953125,247.8494644165039
What are the tuition fees?,Information not available in knowledge base.,0.2,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.037037037037037035,1.0,28.537750244140625,271.3160514831543,299.8538017272949
Do you offer scholarships?,"Yes, Rector's Scholarship and others. For more information, you can visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.2,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.08333333333333333,1.0,32.29045867919922,353.5594940185547,385.8499526977539
What is the campus location?,Information not available in knowledge base.,0.2,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.07142857142857142,1.0,19.997358322143555,280.6682586669922,300.66561698913574
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.2,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.045454545454545456,1.0,15.660762786865234,342.9434299468994,358.60419273376465
What is the acceptance rate?,Approximately 71%,0.2,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.6666666666666666,0.6666666666666666,1.0,38.643836975097656,306.13160133361816,344.7754383087158
How can I apply for admission?,Information not available in knowledge base.,0.2,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.3333333333333333,0.1111111111111111,1.0,18.721580505371094,225.85272789001465,244.57430839538574
What are the tuition fees?,Information not available in knowledge base.,0.2,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.6666666666666666,0.07407407407407407,1.0,16.758441925048828,299.9448776245117,316.70331954956055
Do you offer scholarships?,"Yes, Rector's Scholarship and others. For more information, visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.2,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.25,1.0,33.568620681762695,357.6781749725342,391.2467956542969
What is the campus location?,"There are 3 campuses: Main (central Warsaw), Southern (15min away), and Płock (100km).",0.2,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.21428571428571427,1.0,15.620946884155273,309.5593452453613,325.1802921295166
What are English language requirements?,Information not available in knowledge base.,0.2,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.13636363636363635,1.0,15.624761581420898,359.21359062194824,374.83835220336914
What is the acceptance rate?,Approximately 71%,0.2,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.4,0.6666666666666666,1.0,12.973308563232422,320.42407989501953,333.39738845825195
How can I apply for admission?,Information not available in knowledge base.,0.2,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.4,0.2222222222222222,1.0,31.222105026245117,271.90661430358887,303.128719329834
What are the tuition fees?,Information not available in knowledge base.,0.2,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.8,0.14814814814814814,1.0,7.644414901733398,401.0763168334961,408.7207317352295
Do you offer scholarships?,"Yes, Rector's Scholarship and others. For more information, visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.2,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.4166666666666667,1.0,16.072511672973633,385.0817680358887,401.1542797088623
What is the campus location?,Information not available in knowledge base.,0.2,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.35714285714285715,1.0,3.0214786529541016,314.90373611450195,317.92521476745605
What are English language requirements?,Information not available in knowledge base.,0.2,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.22727272727272727,1.0,15.625,374.56440925598145,390.18940925598145
What is the acceptance rate?,Approximately 71%,0.5,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.3333333333333333,1.0,23.60248565673828,286.15641593933105,309.75890159606934
How can I apply for admission?,Information not available in knowledge base.,0.5,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.1111111111111111,1.0,15.568017959594727,294.88086700439453,310.44888496398926
What are the tuition fees?,Information not available in knowledge base.,0.5,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.037037037037037035,1.0,35.369873046875,281.27598762512207,316.64586067199707
Do you offer scholarships?,"Yes, we offer scholarships, including the Rector's Scholarship and others. More information can be found at https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.5,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.08333333333333333,1.0,16.59703254699707,329.5936584472656,346.1906909942627
What is the campus location?,Information not available in knowledge base.,0.5,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.07142857142857142,1.0,15.610218048095703,335.949182510376,351.5594005584717
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.5,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.045454545454545456,1.0,15.620708465576172,343.1544303894043,358.77513885498047
What is the acceptance rate?,Approximately 71%,0.5,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.6666666666666666,0.6666666666666666,1.0,23.932456970214844,373.40831756591797,397.3407745361328
How can I apply for admission?,Information not available in knowledge base.,0.5,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.3333333333333333,0.1111111111111111,1.0,32.930850982666016,282.0765972137451,315.00744819641113
What are the tuition fees?,Information not available in knowledge base.,0.5,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.6666666666666666,0.07407407407407407,1.0,23.192167282104492,507.6596736907959,530.8518409729004
Do you offer scholarships?,"Yes, Rector's Scholarship and others. For more information, visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.5,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.25,1.0,33.24532508850098,484.4999313354492,517.7452564239502
What is the campus location?,"There are 3 campuses: Main (central Warsaw), Southern (15min away), and Płock (100km).",0.5,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.21428571428571427,1.0,32.54890441894531,502.3508071899414,534.8997116088867
What are English language requirements?,Information not available in knowledge base.,0.5,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.13636363636363635,1.0,15.573740005493164,296.21291160583496,311.7866516113281
What is the acceptance rate?,Approximately 71%,0.5,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.4,0.6666666666666666,1.0,24.668455123901367,3460.2696895599365,3484.938144683838
How can I apply for admission?,Information not available in knowledge base.,0.5,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.4,0.2222222222222222,1.0,15.651464462280273,2437.92986869812,2453.5813331604004
What are the tuition fees?,Information not available in knowledge base.,0.5,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.8,0.14814814814814814,1.0,22.732257843017578,2977.916479110718,3000.6487369537354
Do you offer scholarships?,"Yes, scholarships are available, such as the Rector's Scholarship and others. You can find more information at https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.5,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.4166666666666667,1.0,0.0,3249.460220336914,3249.460220336914
What is the campus location?,Information not available in knowledge base.,0.5,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.35714285714285715,1.0,0.0,2860.1908683776855,2860.1908683776855
What are English language requirements?,Information not available in knowledge base.,0.5,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.22727272727272727,1.0,15.630006790161133,2443.9523220062256,2459.5823287963867
What is the acceptance rate?,71%,0.8,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.3333333333333333,1.0,15.627145767211914,2890.711784362793,2906.338930130005
How can I apply for admission?,Information not available in knowledge base.,0.8,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.1111111111111111,1.0,0.0,3157.4087142944336,3157.4087142944336
What are the tuition fees?,Information not available in knowledge base.,0.8,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.037037037037037035,1.0,15.590190887451172,2452.859878540039,2468.4500694274902
Do you offer scholarships?,"Yes, we offer scholarships, such as the Rector's Scholarship and others. For more information, you can visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.8,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.08333333333333333,1.0,0.0,2603.508710861206,2603.508710861206
What is the campus location?,Information not available in knowledge base.,0.8,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.07142857142857142,1.0,15.66624641418457,2421.4091300964355,2437.07537651062
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.8,1,all-MiniLM-L6-v2,llama-3.3-70b-versatile,1,1.0,0.045454545454545456,1.0,15.58375358581543,2562.661647796631,2578.2454013824463
What is the acceptance rate?,Approximately 71%,0.8,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.6666666666666666,0.6666666666666666,1.0,0.0,2443.101406097412,2443.101406097412
How can I apply for admission?,Information not available in knowledge base.,0.8,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.3333333333333333,0.1111111111111111,1.0,0.0,2532.4928760528564,2532.4928760528564
What are the tuition fees?,Information not available in knowledge base.,0.8,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,0.6666666666666666,0.07407407407407407,1.0,0.0,3515.5770778656006,3515.5770778656006
Do you offer scholarships?,"Yes, Rector's Scholarship and others. For more information, visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.8,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.25,1.0,15.577077865600586,2485.2654933929443,2500.842571258545
What is the campus location?,"The campus locations are: 
1. Main campus (central Warsaw), 
2. Southern campus (15 minutes away from the main campus), 
3. Płock campus (100km away from the main campus).",0.8,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.21428571428571427,1.0,16.709089279174805,2545.820474624634,2562.5295639038086
What are English language requirements?,Information not available in knowledge base.,0.8,3,all-MiniLM-L6-v2,llama-3.3-70b-versatile,3,1.0,0.13636363636363635,1.0,15.588521957397461,2499.8180866241455,2515.406608581543
What is the acceptance rate?,Approximately 71%,0.8,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.4,0.6666666666666666,1.0,15.575170516967773,2452.974557876587,2468.5497283935547
How can I apply for admission?,Information not available in knowledge base.,0.8,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.4,0.2222222222222222,1.0,15.647172927856445,2593.6524868011475,2609.299659729004
What are the tuition fees?,Information not available in knowledge base.,0.8,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,0.8,0.14814814814814814,1.0,15.615463256835938,2546.7028617858887,2562.3183250427246
Do you offer scholarships?,"Yes, Rector's Scholarship and others. For more information, visit https://www.students.pw.edu.pl/Resources/Students-Life/Scholarships.",0.8,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.4166666666666667,1.0,15.61737060546875,3668.253183364868,3683.870553970337
What is the campus location?,Information not available in knowledge base.,0.8,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.35714285714285715,1.0,15.623092651367188,2421.17977142334,2436.802864074707
What are English language requirements?,Information not available in knowledge base.,0.8,5,all-MiniLM-L6-v2,llama-3.3-70b-versatile,5,1.0,0.22727272727272727,1.0,15.558004379272461,2579.0627002716064,2594.620704650879
What is the acceptance rate?,Approximately 71%.,0.2,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,1.0,0.3333333333333333,1.0,87.44478225708008,772.2232341766357,859.6680164337158
How can I apply for admission?,Information not available in knowledge base.,0.2,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,1.0,0.1111111111111111,1.0,81.01654052734375,252.52032279968262,333.53686332702637
What are the tuition fees?,Information not available in knowledge base.,0.2,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,0.0,0.0,0.0,66.6499137878418,303.26366424560547,369.91357803344727
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.2,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,1.0,0.16666666666666666,1.0,46.862125396728516,388.95726203918457,435.8193874359131
What is the campus location?,Information not available in knowledge base.,0.2,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,0.0,0.0,0.0,33.66494178771973,250.7939338684082,284.45887565612793
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT obligatory",0.2,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,1.0,0.043478260869565216,1.0,71.17390632629395,343.5084819793701,414.68238830566406
What is the acceptance rate?,Approximately 71%.,0.2,3,all-mpnet-base-v2,llama-3.1-8b-instant,3,0.3333333333333333,0.3333333333333333,1.0,89.26200866699219,332.3853015899658,421.647310256958
How can I apply for admission?,Information not available in knowledge base.,0.2,3,all-mpnet-base-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.2222222222222222,1.0,68.62401962280273,362.6823425292969,431.3063621520996
What are the tuition fees?,Information not available in knowledge base.,0.2,3,all-mpnet-base-v2,llama-3.1-8b-instant,3,0.3333333333333333,0.043478260869565216,0.3333333333333333,74.20206069946289,315.56057929992676,389.76263999938965
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.2,3,all-mpnet-base-v2,llama-3.1-8b-instant,3,1.0,0.5,1.0,93.76835823059082,424.055814743042,517.8241729736328
What is the campus location?,Information not available in knowledge base.,0.2,3,all-mpnet-base-v2,llama-3.1-8b-instant,3,0.3333333333333333,0.058823529411764705,0.5,91.32575988769531,438.1711483001709,529.4969081878662
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.2,3,all-mpnet-base-v2,llama-3.1-8b-instant,3,1.0,0.13043478260869565,1.0,46.87929153442383,375.4720687866211,422.3513603210449
What is the acceptance rate?,Approximately 71%.,0.2,5,all-mpnet-base-v2,llama-3.1-8b-instant,5,0.2,0.3333333333333333,1.0,60.877323150634766,298.2523441314697,359.1296672821045
How can I apply for admission?,Information not available in knowledge base.,0.2,5,all-mpnet-base-v2,llama-3.1-8b-instant,5,0.4,0.2222222222222222,1.0,43.31254959106445,321.93827629089355,365.250825881958
What are the tuition fees?,Information not available in knowledge base.,0.2,5,all-mpnet-base-v2,llama-3.1-8b-instant,5,0.6,0.13043478260869565,0.3333333333333333,50.27270317077637,354.26831245422363,404.541015625
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.2,5,all-mpnet-base-v2,llama-3.1-8b-instant,5,0.8,0.6666666666666666,1.0,51.7885684967041,411.26298904418945,463.05155754089355
What is the campus location?,Information not available in knowledge base.,0.2,5,all-mpnet-base-v2,llama-3.1-8b-instant,5,0.6,0.17647058823529413,0.5,46.694040298461914,265.0423049926758,311.7363452911377
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.2,5,all-mpnet-base-v2,llama-3.1-8b-instant,5,0.8,0.17391304347826086,1.0,54.59141731262207,319.03767585754395,373.629093170166
What is the acceptance rate?,Approximately 71%.,0.5,1,all-mpnet-base-v2,llama-3.1-8b-instant,1,1.0,0.3333333333333333,1.0,94.83981132507324,268.17822456359863,363.0180358886719
